action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -8
[hazard_37] 3 1 37 6
[honk_37] 4 1 37 -2
[move_1_37] 5 2 36 0
[hazard_36] 6 2 36 -7
[hazard_36] 7 1 36 -2
[move_1_36] 8 2 33 0
[hazard_33] 9 2 33 -7
[hazard_33] 10 1 33 -2
[move_0_33] 11 2 6 0
[hazard_6] 12 2 6 -7
[hazard_6] 13 2 6 -10
[hazard_6] 14 1 6 4
[changelane_6] 15 1 6 -2
[move_0_6] 16 2 8 0
[hazard_8] 17 2 8 -6
[hazard_8] 18 2 8 -8
[hazard_8] 19 1 8 6
[honk_8] 20 1 8 -2
[move_0_8] 21 2 0 0
[hazard_0] 22 2 0 -7
[hazard_0] 23 1 0 -2
[move_0_0] 24 2 3 0
[hazard_3] 25 2 3 -7
[hazard_3] 26 1 3 -2
[term_3] 27 2 50 0
[term] 28 2 51 -11
[term] 29 2 51 -11
