action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_0_46] 3 2 27 0
[hazard_27] 4 2 27 -7
[hazard_27] 5 1 27 -2
[move_1_27] 6 2 30 0
[hazard_30] 7 2 30 -7
[hazard_30] 8 1 30 -2
[move_1_30] 9 2 40 0
[hazard_40] 10 2 40 -7
[hazard_40] 11 1 40 -2
[move_1_40] 12 2 46 0
[hazard_46] 13 2 46 -7
[hazard_46] 14 1 46 -2
[move_0_46] 15 2 27 0
[hazard_27] 16 2 27 -6
[hazard_27] 17 2 27 -8
[hazard_27] 18 1 27 6
[honk_27] 19 1 27 -2
[move_0_27] 20 2 29 0
[hazard_29] 21 2 29 -7
[hazard_29] 22 1 29 -2
[move_0_29] 23 2 3 0
[hazard_3] 24 2 3 -7
[hazard_3] 25 1 3 -2
[term_3] 26 2 51 0
[term] 27 2 51 -11
[term] 28 2 51 -11
