action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_0_37] 3 2 35 0
[hazard_35] 4 2 35 -7
[hazard_35] 5 2 35 -10
[hazard_35] 6 1 35 4
[uturn_35] 7 1 41 -2
[move_1_41] 8 2 36 0
[hazard_36] 9 2 36 -7
[hazard_36] 10 1 36 -2
[move_0_36] 11 2 31 0
[hazard_31] 12 2 31 -6
[hazard_31] 13 2 31 -9
[hazard_31] 14 1 31 1
[honk_31] 15 1 31 -2
[move_0_31] 16 2 26 0
[hazard_26] 17 2 26 -7
[hazard_26] 18 1 26 -2
[move_1_26] 19 2 45 0
[hazard_45] 20 2 45 -7
[hazard_45] 21 1 45 -2
[move_1_45] 22 2 39 0
[hazard_39] 23 2 39 -6
[hazard_39] 24 2 39 -9
[hazard_39] 25 1 39 1
[honk_39] 26 1 39 -2
[term_39] 27 2 51 0
[term] 28 2 51 -11
[term] 29 2 51 -11
