action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -6
[hazard_28] 5 2 28 -8
[hazard_28] 6 1 28 6
[honk_28] 7 1 28 -2
[move_1_28] 8 2 33 0
[hazard_33] 9 2 33 -7
[hazard_33] 10 1 33 -2
[move_0_33] 11 2 6 0
[hazard_6] 12 2 6 -7
[hazard_6] 13 2 6 -10
[hazard_6] 14 1 6 4
[changelane_6] 15 1 6 -2
[move_1_6] 16 2 9 0
[hazard_9] 17 2 9 -6
[hazard_9] 18 2 9 -8
[hazard_9] 19 2 9 3
[jam_9] 20 1 9 6
[uturn_9] 21 1 42 -2
[move_1_42] 22 2 10 0
[hazard_10] 23 2 10 -6
[hazard_10] 24 2 10 -8
[hazard_10] 25 1 10 6
[honk_10] 26 1 10 -2
[move_1_10] 27 2 7 0
[hazard_7] 28 2 7 -7
[hazard_7] 29 1 7 -2
[move_1_7] 30 2 15 0
[hazard_15] 31 2 15 -6
[hazard_15] 32 2 15 -9
[hazard_15] 33 1 15 1
[changelane_15] 34 1 15 -2
[term_15] 35 2 51 0
[term] 36 2 51 -11
[term] 37 2 51 -11
