action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -7
[hazard_8] 2 2 8 -10
[hazard_8] 3 1 8 4
[uturn_8] 4 1 2 -2
[move_1_2] 5 2 10 0
[hazard_10] 6 2 10 -6
[hazard_10] 7 2 10 -9
[hazard_10] 8 1 10 1
[changelane_10] 9 1 10 -2
[move_0_10] 10 2 5 0
[hazard_5] 11 2 5 -7
[hazard_5] 12 2 5 -10
[hazard_5] 13 1 5 4
[uturn_5] 14 1 33 -2
[move_1_33] 15 2 7 0
[hazard_7] 16 2 7 -7
[hazard_7] 17 1 7 -2
[move_1_7] 18 2 15 0
[hazard_15] 19 2 15 -7
[hazard_15] 20 1 15 -2
[term_15] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
