action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -7
[hazard_36] 5 1 36 -2
[move_0_36] 6 2 31 0
[hazard_31] 7 2 31 -7
[hazard_31] 8 1 31 -2
[move_1_31] 9 2 27 0
[hazard_27] 10 2 27 -7
[hazard_27] 11 1 27 -2
[move_0_27] 12 2 29 0
[hazard_29] 13 2 29 -7
[hazard_29] 14 1 29 -2
[move_1_29] 15 2 4 0
[hazard_4] 16 2 4 -7
[hazard_4] 17 1 4 -2
[move_0_4] 18 2 1 0
[hazard_1] 19 2 1 -7
[hazard_1] 20 1 1 -2
[term_1] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
