action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 2 28 -10
[hazard_28] 6 2 28 5
[obstacle_28] 7 1 28 4
[uturn_28] 8 1 31 -2
[move_0_31] 9 2 26 0
[hazard_26] 10 2 26 -7
[hazard_26] 11 1 26 -2
[move_0_26] 12 2 44 0
[hazard_44] 13 2 44 -7
[hazard_44] 14 2 44 -10
[hazard_44] 15 1 44 4
[changelane_44] 16 1 44 -2
[move_0_44] 17 2 16 0
[hazard_16] 18 2 16 -7
[hazard_16] 19 1 16 -2
[move_0_16] 20 2 19 0
[hazard_19] 21 2 19 -6
[hazard_19] 22 2 19 -8
[hazard_19] 23 1 19 6
[honk_19] 24 1 19 -2
[move_1_19] 25 2 24 0
[hazard_24] 26 2 24 -7
[hazard_24] 27 1 24 -2
[term_24] 28 2 51 0
[term] 29 2 51 -11
[term] 30 2 51 -11
