action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -9
[hazard_46] 3 1 46 1
[brake_46] 4 1 46 -2
[move_0_46] 5 2 27 0
[hazard_27] 6 2 27 -7
[hazard_27] 7 1 27 -2
[move_1_27] 8 2 30 0
[hazard_30] 9 2 30 -6
[hazard_30] 10 2 30 -8
[hazard_30] 11 1 30 6
[honk_30] 12 1 30 -2
[move_1_30] 13 2 40 0
[hazard_40] 14 2 40 -6
[hazard_40] 15 2 40 -8
[hazard_40] 16 1 40 6
[uturn_40] 17 1 45 -2
[move_1_45] 18 2 39 0
[hazard_39] 19 2 39 -6
[hazard_39] 20 2 39 -9
[hazard_39] 21 1 39 1
[changelane_39] 22 1 39 -2
[term_39] 23 2 51 0
[term] 24 2 51 -11
[term] 25 2 51 -11
