action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -8
[hazard_37] 3 2 37 3
[pedestrian_37] 4 1 37 1
[changelane_37] 5 1 37 -2
[move_1_37] 6 2 36 0
[hazard_36] 7 2 36 -7
[hazard_36] 8 1 36 -2
[move_1_36] 9 2 33 0
[hazard_33] 10 2 33 -6
[hazard_33] 11 2 33 -9
[hazard_33] 12 1 33 1
[changelane_33] 13 1 33 -2
[move_1_33] 14 2 7 0
[hazard_7] 15 2 7 -7
[hazard_7] 16 1 7 -2
[move_0_7] 17 2 14 0
[hazard_14] 18 2 14 -6
[hazard_14] 19 2 14 -9
[hazard_14] 20 1 14 1
[changelane_14] 21 1 14 -3
[term] 22 2 51 -11
[term] 23 2 51 -11
