action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 1 46 4
[uturn_46] 4 1 26 -2
[move_0_26] 5 2 44 0
[hazard_44] 6 2 44 -6
[hazard_44] 7 2 44 -8
[hazard_44] 8 1 44 6
[honk_44] 9 1 44 -2
[move_0_44] 10 2 16 0
[hazard_16] 11 2 16 -7
[hazard_16] 12 1 16 -2
[move_0_16] 13 2 19 0
[hazard_19] 14 2 19 -7
[hazard_19] 15 1 19 -2
[move_0_19] 16 2 22 0
[hazard_22] 17 2 22 -6
[hazard_22] 18 2 22 -9
[hazard_22] 19 1 22 1
[changelane_22] 20 1 22 -2
[term_22] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
