action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 2 37 -10
[hazard_37] 3 1 37 4
[changelane_37] 4 1 37 -2
[move_1_37] 5 2 36 0
[hazard_36] 6 2 36 -6
[hazard_36] 7 2 36 -8
[hazard_36] 8 1 36 6
[honk_36] 9 1 36 -2
[move_1_36] 10 2 33 0
[hazard_33] 11 2 33 -7
[hazard_33] 12 1 33 -2
[move_1_33] 13 2 7 0
[hazard_7] 14 2 7 -6
[hazard_7] 15 2 7 -8
[hazard_7] 16 2 7 3
[jam_7] 17 1 7 6
[uturn_7] 18 1 13 -2
[move_1_13] 19 2 6 0
[hazard_6] 20 2 6 -7
[hazard_6] 21 1 6 -2
[move_0_6] 22 2 8 0
[hazard_8] 23 2 8 -7
[hazard_8] 24 1 8 -2
[move_1_8] 25 2 1 0
[hazard_1] 26 2 1 -6
[hazard_1] 27 2 1 -9
[hazard_1] 28 1 1 1
[brake_1] 29 1 1 -2
[term_1] 30 2 51 0
[term] 31 2 51 -11
[term] 32 2 51 -11
