action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -7
[hazard_8] 2 2 8 -10
[hazard_8] 3 1 8 4
[uturn_8] 4 1 2 -2
[move_0_2] 5 2 9 0
[hazard_9] 6 2 9 -6
[hazard_9] 7 2 9 -8
[hazard_9] 8 1 9 6
[uturn_9] 9 1 42 -2
[move_1_42] 10 2 10 0
[hazard_10] 11 2 10 -7
[hazard_10] 12 2 10 -10
[hazard_10] 13 1 10 4
[uturn_10] 14 1 6 -2
[move_0_6] 15 2 8 0
[hazard_8] 16 2 8 -7
[hazard_8] 17 1 8 -2
[move_0_8] 18 2 0 0
[hazard_0] 19 2 0 -7
[hazard_0] 20 1 0 -2
[move_0_0] 21 2 3 0
[hazard_3] 22 2 3 -7
[hazard_3] 23 2 3 -10
[hazard_3] 24 1 3 4
[uturn_3] 25 2 3 -3
[term] 26 2 51 -11
[term] 27 2 51 -11
