action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_1_28] 6 2 33 0
[hazard_33] 7 2 33 -7
[hazard_33] 8 2 33 -10
[hazard_33] 9 1 33 4
[uturn_33] 10 1 5 -2
[move_0_5] 11 2 31 0
[hazard_31] 12 2 31 -7
[hazard_31] 13 1 31 -2
[move_1_31] 14 2 27 0
[hazard_27] 15 2 27 -7
[hazard_27] 16 1 27 -2
[move_0_27] 17 2 29 0
[hazard_29] 18 2 29 -7
[hazard_29] 19 1 29 -2
[move_0_29] 20 2 3 0
[hazard_3] 21 2 3 -6
[hazard_3] 22 2 3 -8
[hazard_3] 23 1 3 6
[honk_3] 24 1 3 -2
[term_3] 25 2 51 0
[term] 26 2 51 -11
[term] 27 2 51 -11
