action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_0_28] 6 2 32 0
[hazard_32] 7 2 32 -6
[hazard_32] 8 2 32 -8
[hazard_32] 9 1 32 6
[honk_32] 10 1 32 -2
[move_1_32] 11 2 35 0
[hazard_35] 12 2 35 -6
[hazard_35] 13 2 35 -8
[hazard_35] 14 2 35 3
[jam_35] 15 1 35 6
[uturn_35] 16 1 41 -2
[move_1_41] 17 2 36 0
[hazard_36] 18 2 36 -6
[hazard_36] 19 2 36 -9
[hazard_36] 20 1 36 1
[honk_36] 21 1 36 -2
[move_0_36] 22 2 31 0
[hazard_31] 23 2 31 -7
[hazard_31] 24 1 31 -2
[move_0_31] 25 2 26 0
[hazard_26] 26 2 26 -6
[hazard_26] 27 2 26 -9
[hazard_26] 28 1 26 1
[brake_26] 29 1 26 -2
[move_1_26] 30 2 45 0
[hazard_45] 31 2 45 -7
[hazard_45] 32 1 45 -2
[move_1_45] 33 2 39 0
[hazard_39] 34 2 39 -7
[hazard_39] 35 1 39 -2
[term_39] 36 2 51 0
[term] 37 2 51 -11
[term] 38 2 51 -11
