action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 2 28 -10
[hazard_28] 6 1 28 4
[changelane_28] 7 1 28 -2
[move_1_28] 8 2 33 0
[hazard_33] 9 2 33 -6
[hazard_33] 10 2 33 -9
[hazard_33] 11 1 33 1
[changelane_33] 12 1 33 -2
[move_0_33] 13 2 6 0
[hazard_6] 14 2 6 -6
[hazard_6] 15 2 6 -9
[hazard_6] 16 1 6 1
[honk_6] 17 1 6 -2
[move_0_6] 18 2 8 0
[hazard_8] 19 2 8 -7
[hazard_8] 20 2 8 -10
[hazard_8] 21 1 8 4
[uturn_8] 22 1 2 -2
[move_1_2] 23 2 10 0
[hazard_10] 24 2 10 -7
[hazard_10] 25 1 10 -2
[move_0_10] 26 2 5 0
[hazard_5] 27 2 5 -7
[hazard_5] 28 1 5 -2
[move_1_5] 29 2 32 0
[hazard_32] 30 2 32 -6
[hazard_32] 31 2 32 -8
[hazard_32] 32 1 32 6
[uturn_32] 33 1 36 -2
[move_1_36] 34 2 33 0
[hazard_33] 35 2 33 -6
[hazard_33] 36 2 33 -9
[hazard_33] 37 1 33 1
[changelane_33] 38 1 33 -2
[move_1_33] 39 2 7 0
[hazard_7] 40 2 7 -7
[hazard_7] 41 1 7 -2
[move_1_7] 42 2 15 0
[hazard_15] 43 2 15 -7
[hazard_15] 44 1 15 -2
[term_15] 45 2 51 0
[term] 46 2 51 -11
[term] 47 2 51 -11
