action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -7
[hazard_8] 2 2 8 -10
[hazard_8] 3 2 8 5
[jam_8] 4 1 8 6
[uturn_8] 5 1 2 -2
[move_1_2] 6 2 10 0
[hazard_10] 7 2 10 -7
[hazard_10] 8 2 10 -10
[hazard_10] 9 1 10 4
[changelane_10] 10 1 10 -2
[move_1_10] 11 2 7 0
[hazard_7] 12 2 7 -6
[hazard_7] 13 2 7 -9
[hazard_7] 14 1 7 1
[honk_7] 15 1 7 -2
[move_1_7] 16 2 15 0
[hazard_15] 17 2 15 -6
[hazard_15] 18 2 15 -8
[hazard_15] 19 1 15 6
[honk_15] 20 1 15 -2
[term_15] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
