action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[honk_36] 7 1 36 -2
[move_1_36] 8 2 33 0
[hazard_33] 9 2 33 -7
[hazard_33] 10 1 33 -2
[move_0_33] 11 2 6 0
[hazard_6] 12 2 6 -6
[hazard_6] 13 2 6 -9
[hazard_6] 14 1 6 1
[brake_6] 15 1 6 -2
[move_0_6] 16 2 8 0
[hazard_8] 17 2 8 -6
[hazard_8] 18 2 8 -9
[hazard_8] 19 1 8 1
[honk_8] 20 1 8 -2
[move_1_8] 21 2 1 0
[hazard_1] 22 2 1 -7
[hazard_1] 23 1 1 -2
[term_1] 24 2 51 0
[term] 25 2 51 -11
[term] 26 2 51 -11
