action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -9
[hazard_46] 3 1 46 1
[brake_46] 4 1 46 -2
[move_1_46] 5 2 28 0
[hazard_28] 6 2 28 -7
[hazard_28] 7 1 28 -2
[move_1_28] 8 2 33 0
[hazard_33] 9 2 33 -6
[hazard_33] 10 2 33 -9
[hazard_33] 11 1 33 1
[honk_33] 12 1 33 -2
[move_1_33] 13 2 7 0
[hazard_7] 14 2 7 -7
[hazard_7] 15 1 7 -2
[move_0_7] 16 2 14 0
[hazard_14] 17 2 14 -6
[hazard_14] 18 2 14 -9
[hazard_14] 19 1 14 1
[honk_14] 20 1 14 -2
[term_14] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
