action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 2 46 3
[pedestrian_46] 4 1 46 1
[brake_46] 5 1 46 -2
[move_1_46] 6 2 28 0
[hazard_28] 7 2 28 -7
[hazard_28] 8 1 28 -2
[move_1_28] 9 2 33 0
[hazard_33] 10 2 33 -7
[hazard_33] 11 1 33 -2
[move_0_33] 12 2 6 0
[hazard_6] 13 2 6 -6
[hazard_6] 14 2 6 -8
[hazard_6] 15 1 6 6
[uturn_6] 16 1 10 -2
[move_1_10] 17 2 7 0
[hazard_7] 18 2 7 -6
[hazard_7] 19 2 7 -8
[hazard_7] 20 1 7 6
[honk_7] 21 1 7 -2
[move_0_7] 22 2 14 0
[hazard_14] 23 2 14 -7
[hazard_14] 24 1 14 -2
[term_14] 25 2 51 0
[term] 26 2 51 -11
[term] 27 2 51 -11
