action step p car_position s
- 0 2 34 0
[hazard_34] 1 2 34 -6
[hazard_34] 2 2 34 -8
[hazard_34] 3 1 34 6
[uturn_34] 4 1 37 -2
[move_0_37] 5 2 35 0
[hazard_35] 6 2 35 -6
[hazard_35] 7 2 35 -8
[hazard_35] 8 2 35 3
[jam_35] 9 1 35 6
[uturn_35] 10 1 41 -2
[move_0_41] 11 2 34 0
[hazard_34] 12 2 34 -7
[hazard_34] 13 2 34 -10
[hazard_34] 14 1 34 4
[uturn_34] 15 1 37 -2
[move_0_37] 16 2 35 0
[hazard_35] 17 2 35 -6
[hazard_35] 18 2 35 -8
[hazard_35] 19 1 35 6
[uturn_35] 20 1 41 -2
[move_0_41] 21 2 34 0
[hazard_34] 22 2 34 -7
[hazard_34] 23 1 34 -2
[term_34] 24 2 51 0
[term] 25 2 51 -11
[term] 26 2 51 -11
