action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_0_46] 3 2 27 0
[hazard_27] 4 2 27 -7
[hazard_27] 5 1 27 -2
[move_1_27] 6 2 30 0
[hazard_30] 7 2 30 -7
[hazard_30] 8 1 30 -2
[move_1_30] 9 2 40 0
[hazard_40] 10 2 40 -6
[hazard_40] 11 2 40 -8
[hazard_40] 12 1 40 6
[honk_40] 13 1 40 -2
[move_0_40] 14 2 44 0
[hazard_44] 15 2 44 -6
[hazard_44] 16 2 44 -9
[hazard_44] 17 1 44 1
[honk_44] 18 1 44 -2
[move_0_44] 19 2 16 0
[hazard_16] 20 2 16 -7
[hazard_16] 21 1 16 -2
[move_0_16] 22 2 19 0
[hazard_19] 23 2 19 -7
[hazard_19] 24 2 19 -10
[hazard_19] 25 1 19 4
[uturn_19] 26 1 23 -2
[move_0_23] 27 2 20 0
[hazard_20] 28 2 20 -7
[hazard_20] 29 2 20 -10
[hazard_20] 30 1 20 4
[changelane_20] 31 1 20 -2
[move_1_20] 32 2 18 0
[hazard_18] 33 2 18 -7
[hazard_18] 34 1 18 -2
[move_1_18] 35 2 46 0
[hazard_46] 36 2 46 -7
[hazard_46] 37 1 46 -2
[move_1_46] 38 2 28 0
[hazard_28] 39 2 28 -6
[hazard_28] 40 2 28 -8
[hazard_28] 41 2 28 3
[jam_28] 42 1 28 6
[honk_28] 43 1 28 -2
[move_1_28] 44 2 33 0
[hazard_33] 45 2 33 -6
[hazard_33] 46 2 33 -9
[hazard_33] 47 1 33 1
[changelane_33] 48 1 33 -2
[move_1_33] 49 2 7 0
[hazard_7] 50 2 7 -7
[hazard_7] 51 1 7 -2
[move_0_7] 52 2 14 0
[hazard_14] 53 2 14 -6
[hazard_14] 54 2 14 -8
[hazard_14] 55 1 14 6
[honk_14] 56 2 14 -1
[term] 57 2 51 -11
[term] 58 2 51 -11
