action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -8
[hazard_37] 3 2 37 3
[jam_37] 4 1 37 6
[honk_37] 5 1 37 -2
[move_1_37] 6 2 36 0
[hazard_36] 7 2 36 -7
[hazard_36] 8 1 36 -2
[move_0_36] 9 2 31 0
[hazard_31] 10 2 31 -7
[hazard_31] 11 1 31 -2
[move_0_31] 12 2 26 0
[hazard_26] 13 2 26 -7
[hazard_26] 14 1 26 -2
[move_0_26] 15 2 44 0
[hazard_44] 16 2 44 -7
[hazard_44] 17 1 44 -2
[move_1_44] 18 2 17 0
[hazard_17] 19 2 17 -7
[hazard_17] 20 2 17 -10
[hazard_17] 21 1 17 4
[changelane_17] 22 1 17 -2
[term_17] 23 2 51 0
[term] 24 2 51 -11
[term] 25 2 51 -11
