action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -8
[hazard_37] 3 2 37 3
[jam_37] 4 1 37 6
[honk_37] 5 1 37 -2
[move_1_37] 6 2 36 0
[hazard_36] 7 2 36 -7
[hazard_36] 8 1 36 -2
[move_1_36] 9 2 33 0
[hazard_33] 10 2 33 -7
[hazard_33] 11 1 33 -2
[move_0_33] 12 2 6 0
[hazard_6] 13 2 6 -7
[hazard_6] 14 1 6 -2
[move_0_6] 15 2 8 0
[hazard_8] 16 2 8 -7
[hazard_8] 17 1 8 -2
[move_0_8] 18 2 0 0
[hazard_0] 19 2 0 -6
[hazard_0] 20 2 0 -8
[hazard_0] 21 2 0 3
[jam_0] 22 1 0 6
[honk_0] 23 1 0 -2
[move_0_0] 24 2 3 0
[hazard_3] 25 2 3 -6
[hazard_3] 26 2 3 -9
[hazard_3] 27 1 3 1
[changelane_3] 28 1 3 -3
[term] 29 2 51 -11
[term] 30 2 51 -11
