action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 2 46 5
[jam_46] 4 1 46 6
[uturn_46] 5 1 26 -2
[move_0_26] 6 2 44 0
[hazard_44] 7 2 44 -7
[hazard_44] 8 1 44 -2
[move_0_44] 9 2 16 0
[hazard_16] 10 2 16 -7
[hazard_16] 11 1 16 -2
[move_0_16] 12 2 19 0
[hazard_19] 13 2 19 -7
[hazard_19] 14 1 19 -2
[move_1_19] 15 2 24 0
[hazard_24] 16 2 24 -6
[hazard_24] 17 2 24 -8
[hazard_24] 18 2 24 3
[pedestrian_24] 19 1 24 1
[honk_24] 20 1 24 -2
[term_24] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
