action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 1 46 6
[uturn_46] 4 1 26 -2
[move_0_26] 5 2 44 0
[hazard_44] 6 2 44 -7
[hazard_44] 7 1 44 -2
[move_0_44] 8 2 16 0
[hazard_16] 9 2 16 -6
[hazard_16] 10 2 16 -8
[hazard_16] 11 1 16 6
[uturn_16] 12 1 20 -2
[move_1_20] 13 2 18 0
[hazard_18] 14 2 18 -6
[hazard_18] 15 2 18 -8
[hazard_18] 16 1 18 6
[honk_18] 17 1 18 -2
[move_0_18] 18 2 45 0
[hazard_45] 19 2 45 -7
[hazard_45] 20 1 45 -2
[move_0_45] 21 2 38 0
[hazard_38] 22 2 38 -6
[hazard_38] 23 2 38 -9
[hazard_38] 24 1 38 1
[honk_38] 25 1 38 -2
[move_0_38] 26 2 29 0
[hazard_29] 27 2 29 -7
[hazard_29] 28 1 29 -2
[move_1_29] 29 2 4 0
[hazard_4] 30 2 4 -6
[hazard_4] 31 2 4 -8
[hazard_4] 32 1 4 6
[honk_4] 33 1 4 -2
[move_1_4] 34 2 2 0
[hazard_2] 35 2 2 -7
[hazard_2] 36 1 2 -2
[move_1_2] 37 2 10 0
[hazard_10] 38 2 10 -7
[hazard_10] 39 1 10 -2
[move_1_10] 40 2 7 0
[hazard_7] 41 2 7 -7
[hazard_7] 42 1 7 -2
[move_0_7] 43 2 14 0
[hazard_14] 44 2 14 -7
[hazard_14] 45 1 14 -2
[term_14] 46 2 51 0
[term] 47 2 51 -11
[term] 48 2 51 -11
