action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 1 46 4
[uturn_46] 4 1 26 -2
[move_1_26] 5 2 45 0
[hazard_45] 6 2 45 -6
[hazard_45] 7 2 45 -8
[hazard_45] 8 1 45 6
[uturn_45] 9 1 40 -2
[move_0_40] 10 2 44 0
[hazard_44] 11 2 44 -6
[hazard_44] 12 2 44 -8
[hazard_44] 13 1 44 6
[honk_44] 14 1 44 -2
[move_1_44] 15 2 17 0
[hazard_17] 16 2 17 -6
[hazard_17] 17 2 17 -9
[hazard_17] 18 1 17 1
[changelane_17] 19 1 17 -2
[term_17] 20 2 51 0
[term] 21 2 51 -11
[term] 22 2 51 -11
