action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 1 46 6
[honk_46] 4 1 46 -2
[move_1_46] 5 2 28 0
[hazard_28] 6 2 28 -6
[hazard_28] 7 2 28 -9
[hazard_28] 8 1 28 1
[changelane_28] 9 1 28 -2
[move_1_28] 10 2 33 0
[hazard_33] 11 2 33 -7
[hazard_33] 12 1 33 -2
[move_0_33] 13 2 6 0
[hazard_6] 14 2 6 -7
[hazard_6] 15 1 6 -2
[move_1_6] 16 2 9 0
[hazard_9] 17 2 9 -6
[hazard_9] 18 2 9 -8
[hazard_9] 19 1 9 6
[honk_9] 20 1 9 -2
[term_9] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
