action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 2 46 3
[pedestrian_46] 4 1 46 1
[honk_46] 5 1 46 -2
[move_0_46] 6 2 27 0
[hazard_27] 7 2 27 -7
[hazard_27] 8 1 27 -2
[move_1_27] 9 2 30 0
[hazard_30] 10 2 30 -6
[hazard_30] 11 2 30 -8
[hazard_30] 12 1 30 6
[honk_30] 13 1 30 -2
[move_1_30] 14 2 40 0
[hazard_40] 15 2 40 -7
[hazard_40] 16 1 40 -2
[move_1_40] 17 2 46 0
[hazard_46] 18 2 46 -7
[hazard_46] 19 1 46 -2
[move_1_46] 20 2 28 0
[hazard_28] 21 2 28 -7
[hazard_28] 22 1 28 -2
[move_1_28] 23 2 33 0
[hazard_33] 24 2 33 -6
[hazard_33] 25 2 33 -8
[hazard_33] 26 1 33 6
[uturn_33] 27 1 5 -2
[move_0_5] 28 2 31 0
[hazard_31] 29 2 31 -6
[hazard_31] 30 2 31 -8
[hazard_31] 31 1 31 6
[honk_31] 32 1 31 -2
[move_0_31] 33 2 26 0
[hazard_26] 34 2 26 -7
[hazard_26] 35 1 26 -2
[move_1_26] 36 2 45 0
[hazard_45] 37 2 45 -7
[hazard_45] 38 1 45 -2
[move_0_45] 39 2 38 0
[hazard_38] 40 2 38 -7
[hazard_38] 41 1 38 -2
[move_0_38] 42 2 29 0
[hazard_29] 43 2 29 -7
[hazard_29] 44 1 29 -2
[move_0_29] 45 2 3 0
[hazard_3] 46 2 3 -7
[hazard_3] 47 1 3 -2
[term_3] 48 2 51 0
[term] 49 2 51 -11
[term] 50 2 51 -11
