action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 2 46 5
[jam_46] 4 1 46 6
[honk_46] 5 1 46 -2
[move_1_46] 6 2 28 0
[hazard_28] 7 2 28 -7
[hazard_28] 8 2 28 -10
[hazard_28] 9 1 28 4
[uturn_28] 10 1 31 -2
[move_0_31] 11 2 26 0
[hazard_26] 12 2 26 -7
[hazard_26] 13 1 26 -2
[move_0_26] 14 2 44 0
[hazard_44] 15 2 44 -6
[hazard_44] 16 2 44 -8
[hazard_44] 17 1 44 6
[uturn_44] 18 1 18 -2
[move_0_18] 19 2 45 0
[hazard_45] 20 2 45 -7
[hazard_45] 21 2 45 -10
[hazard_45] 22 2 45 5
[jam_45] 23 1 45 6
[honk_45] 24 1 45 -2
[move_0_45] 25 2 38 0
[hazard_38] 26 2 38 -7
[hazard_38] 27 1 38 -2
[move_0_38] 28 2 29 0
[hazard_29] 29 2 29 -7
[hazard_29] 30 1 29 -2
[move_0_29] 31 2 3 0
[hazard_3] 32 2 3 -7
[hazard_3] 33 1 3 -2
[term_3] 34 2 51 0
[term] 35 2 51 -11
[term] 36 2 51 -11
