action step p car_position s
- 0 2 34 0
[hazard_34] 1 2 34 -6
[hazard_34] 2 2 34 -8
[hazard_34] 3 1 34 6
[uturn_34] 4 1 37 -2
[move_1_37] 5 2 36 0
[hazard_36] 6 2 36 -7
[hazard_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -6
[hazard_31] 10 2 31 -8
[hazard_31] 11 1 31 6
[uturn_31] 12 1 28 -2
[move_1_28] 13 2 33 0
[hazard_33] 14 2 33 -7
[hazard_33] 15 1 33 -2
[move_0_33] 16 2 6 0
[hazard_6] 17 2 6 -6
[hazard_6] 18 2 6 -8
[hazard_6] 19 1 6 6
[uturn_6] 20 1 10 -2
[move_0_10] 21 2 5 0
[hazard_5] 22 2 5 -7
[hazard_5] 23 1 5 -2
[move_1_5] 24 2 32 0
[hazard_32] 25 2 32 -7
[hazard_32] 26 1 32 -2
[move_0_32] 27 2 34 0
[hazard_34] 28 2 34 -7
[hazard_34] 29 1 34 -2
[term_34] 30 2 51 0
[term] 31 2 51 -11
[term] 32 2 51 -11
