action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -8
[hazard_36] 6 1 36 6
[uturn_36] 7 1 32 -2
[move_0_32] 8 2 34 0
[hazard_34] 9 2 34 -6
[hazard_34] 10 2 34 -8
[hazard_34] 11 1 34 6
[uturn_34] 12 1 37 -2
[move_1_37] 13 2 36 0
[hazard_36] 14 2 36 -7
[hazard_36] 15 1 36 -2
[move_1_36] 16 2 33 0
[hazard_33] 17 2 33 -7
[hazard_33] 18 1 33 -2
[move_1_33] 19 2 7 0
[hazard_7] 20 2 7 -7
[hazard_7] 21 1 7 -2
[move_0_7] 22 2 14 0
[hazard_14] 23 2 14 -6
[hazard_14] 24 2 14 -8
[hazard_14] 25 1 14 6
[uturn_14] 26 2 14 -3
[term] 27 2 51 -11
[term] 28 2 51 -11
