action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 1 46 4
[changelane_46] 4 1 46 -2
[move_1_46] 5 2 28 0
[hazard_28] 6 2 28 -7
[hazard_28] 7 2 28 -10
[hazard_28] 8 2 28 5
[obstacle_28] 9 1 28 4
[uturn_28] 10 1 31 -2
[move_1_31] 11 2 27 0
[hazard_27] 12 2 27 -7
[hazard_27] 13 1 27 -2
[move_1_27] 14 2 30 0
[hazard_30] 15 2 30 -7
[hazard_30] 16 1 30 -2
[move_1_30] 17 2 40 0
[hazard_40] 18 2 40 -6
[hazard_40] 19 2 40 -8
[hazard_40] 20 2 40 3
[jam_40] 21 1 40 6
[uturn_40] 22 1 45 -2
[move_1_45] 23 2 39 0
[hazard_39] 24 2 39 -6
[hazard_39] 25 2 39 -8
[hazard_39] 26 2 39 3
[jam_39] 27 1 39 6
[honk_39] 28 1 39 -2
[term_39] 29 2 51 0
[term] 30 2 51 -11
[term] 31 2 51 -11
