action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 2 46 -10
[hazard_46] 3 1 46 4
[uturn_46] 4 1 26 -2
[move_1_26] 5 2 45 0
[hazard_45] 6 2 45 -6
[hazard_45] 7 2 45 -8
[hazard_45] 8 1 45 6
[uturn_45] 9 1 40 -2
[move_0_40] 10 2 44 0
[hazard_44] 11 2 44 -7
[hazard_44] 12 1 44 -2
[move_0_44] 13 2 16 0
[hazard_16] 14 2 16 -6
[hazard_16] 15 2 16 -8
[hazard_16] 16 1 16 6
[uturn_16] 17 1 20 -2
[move_1_20] 18 2 18 0
[hazard_18] 19 2 18 -7
[hazard_18] 20 1 18 -2
[move_0_18] 21 2 45 0
[hazard_45] 22 2 45 -7
[hazard_45] 23 1 45 -2
[move_1_45] 24 2 39 0
[hazard_39] 25 2 39 -7
[hazard_39] 26 1 39 -2
[term_39] 27 2 51 0
[term] 28 2 51 -11
[term] 29 2 51 -11
