action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_0_37] 3 2 35 0
[hazard_35] 4 2 35 -6
[hazard_35] 5 2 35 -8
[hazard_35] 6 1 35 6
[uturn_35] 7 1 41 -2
[move_1_41] 8 2 36 0
[hazard_36] 9 2 36 -6
[hazard_36] 10 2 36 -8
[hazard_36] 11 1 36 6
[uturn_36] 12 1 32 -2
[move_0_32] 13 2 34 0
[hazard_34] 14 2 34 -7
[hazard_34] 15 2 34 -10
[hazard_34] 16 2 34 5
[obstacle_34] 17 1 34 4
[uturn_34] 18 1 37 -2
[move_0_37] 19 2 35 0
[hazard_35] 20 2 35 -7
[hazard_35] 21 2 35 -10
[hazard_35] 22 2 35 5
[obstacle_35] 23 1 35 4
[uturn_35] 24 1 41 -2
[move_1_41] 25 2 36 0
[hazard_36] 26 2 36 -7
[hazard_36] 27 1 36 -2
[move_1_36] 28 2 33 0
[hazard_33] 29 2 33 -7
[hazard_33] 30 1 33 -2
[move_1_33] 31 2 7 0
[hazard_7] 32 2 7 -7
[hazard_7] 33 1 7 -2
[move_1_7] 34 2 15 0
[hazard_15] 35 2 15 -7
[hazard_15] 36 1 15 -2
[term_15] 37 2 51 0
[term] 38 2 51 -11
[term] 39 2 51 -11
