action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -7
[hazard_36] 5 1 36 -2
[move_1_36] 6 2 33 0
[hazard_33] 7 2 33 -6
[hazard_33] 8 2 33 -8
[hazard_33] 9 1 33 6
[uturn_33] 10 1 5 -2
[move_0_5] 11 2 31 0
[hazard_31] 12 2 31 -7
[hazard_31] 13 1 31 -2
[move_1_31] 14 2 27 0
[hazard_27] 15 2 27 -7
[hazard_27] 16 1 27 -2
[move_0_27] 17 2 29 0
[hazard_29] 18 2 29 -7
[hazard_29] 19 2 29 -10
[hazard_29] 20 1 29 4
[uturn_29] 21 2 29 -3
[term] 22 2 51 -11
[term] 23 2 51 -11
