action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -9
[hazard_37] 3 1 37 1
[changelane_37] 4 1 37 -2
[move_1_37] 5 2 36 0
[hazard_36] 6 2 36 -7
[hazard_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -6
[hazard_31] 10 2 31 -8
[hazard_31] 11 1 31 6
[uturn_31] 12 1 28 -2
[move_0_28] 13 2 32 0
[hazard_32] 14 2 32 -6
[hazard_32] 15 2 32 -8
[hazard_32] 16 1 32 6
[honk_32] 17 1 32 -2
[move_0_32] 18 2 34 0
[hazard_34] 19 2 34 -7
[hazard_34] 20 1 34 -2
[term_34] 21 2 51 0
[term] 22 2 51 -11
[term] 23 2 51 -11
