action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -8
[hazard_37] 3 2 37 3
[pedestrian_37] 4 1 37 1
[brake_37] 5 1 37 -2
[move_1_37] 6 2 36 0
[hazard_36] 7 2 36 -7
[hazard_36] 8 1 36 -2
[move_0_36] 9 2 31 0
[hazard_31] 10 2 31 -7
[hazard_31] 11 1 31 -2
[move_0_31] 12 2 26 0
[hazard_26] 13 2 26 -7
[hazard_26] 14 1 26 -2
[move_1_26] 15 2 45 0
[hazard_45] 16 2 45 -7
[hazard_45] 17 2 45 -10
[hazard_45] 18 1 45 4
[uturn_45] 19 1 40 -2
[move_1_40] 20 2 46 0
[hazard_46] 21 2 46 -7
[hazard_46] 22 1 46 -2
[move_1_46] 23 2 28 0
[hazard_28] 24 2 28 -7
[hazard_28] 25 1 28 -2
[move_0_28] 26 2 32 0
[hazard_32] 27 2 32 -7
[hazard_32] 28 1 32 -2
[move_1_32] 29 2 35 0
[hazard_35] 30 2 35 -6
[hazard_35] 31 2 35 -9
[hazard_35] 32 1 35 1
[honk_35] 33 1 35 -2
[term_35] 34 2 51 0
[term] 35 2 51 -11
[term] 36 2 51 -11
