action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_1_28] 6 2 33 0
[hazard_33] 7 2 33 -7
[hazard_33] 8 1 33 -2
[move_0_33] 9 2 6 0
[hazard_6] 10 2 6 -7
[hazard_6] 11 1 6 -2
[move_0_6] 12 2 8 0
[hazard_8] 13 2 8 -6
[hazard_8] 14 2 8 -8
[hazard_8] 15 1 8 6
[uturn_8] 16 1 2 -2
[move_1_2] 17 2 10 0
[hazard_10] 18 2 10 -7
[hazard_10] 19 1 10 -2
[move_0_10] 20 2 5 0
[hazard_5] 21 2 5 -7
[hazard_5] 22 1 5 -2
[move_0_5] 23 2 31 0
[hazard_31] 24 2 31 -7
[hazard_31] 25 1 31 -2
[move_0_31] 26 2 26 0
[hazard_26] 27 2 26 -6
[hazard_26] 28 2 26 -9
[hazard_26] 29 1 26 1
[honk_26] 30 1 26 -2
[move_0_26] 31 2 44 0
[hazard_44] 32 2 44 -6
[hazard_44] 33 2 44 -9
[hazard_44] 34 1 44 1
[changelane_44] 35 1 44 -2
[move_1_44] 36 2 17 0
[hazard_17] 37 2 17 -7
[hazard_17] 38 1 17 -2
[term_17] 39 2 51 0
[term] 40 2 51 -11
[term] 41 2 51 -11
