action step p car_position s
- 0 2 34 0
[hazard_34] 1 2 34 -6
[hazard_34] 2 2 34 -8
[hazard_34] 3 1 34 6
[uturn_34] 4 1 37 -2
[move_0_37] 5 2 35 0
[hazard_35] 6 2 35 -7
[hazard_35] 7 2 35 -10
[hazard_35] 8 2 35 5
[jam_35] 9 1 35 6
[uturn_35] 10 1 41 -2
[move_1_41] 11 2 36 0
[hazard_36] 12 2 36 -7
[hazard_36] 13 2 36 -10
[hazard_36] 14 1 36 4
[changelane_36] 15 1 36 -2
[move_0_36] 16 2 31 0
[hazard_31] 17 2 31 -6
[hazard_31] 18 2 31 -8
[hazard_31] 19 2 31 3
[pedestrian_31] 20 1 31 1
[honk_31] 21 1 31 -2
[move_0_31] 22 2 26 0
[hazard_26] 23 2 26 -7
[hazard_26] 24 1 26 -2
[move_0_26] 25 2 44 0
[hazard_44] 26 2 44 -6
[hazard_44] 27 2 44 -8
[hazard_44] 28 2 44 3
[pedestrian_44] 29 1 44 1
[brake_44] 30 1 44 -2
[move_0_44] 31 2 16 0
[hazard_16] 32 2 16 -7
[hazard_16] 33 1 16 -2
[move_0_16] 34 2 19 0
[hazard_19] 35 2 19 -7
[hazard_19] 36 2 19 -10
[hazard_19] 37 1 19 4
[changelane_19] 38 1 19 -2
[move_1_19] 39 2 24 0
[hazard_24] 40 2 24 -7
[hazard_24] 41 1 24 -2
[term_24] 42 2 51 0
[term] 43 2 51 -11
[term] 44 2 51 -11
