action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[brake_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -7
[hazard_31] 10 1 31 -2
[move_0_31] 11 2 26 0
[hazard_26] 12 2 26 -6
[hazard_26] 13 2 26 -9
[hazard_26] 14 1 26 1
[brake_26] 15 1 26 -2
[move_1_26] 16 2 45 0
[hazard_45] 17 2 45 -7
[hazard_45] 18 1 45 -2
[move_0_45] 19 2 38 0
[hazard_38] 20 2 38 -7
[hazard_38] 21 1 38 -2
[move_0_38] 22 2 29 0
[hazard_29] 23 2 29 -7
[hazard_29] 24 1 29 -2
[move_1_29] 25 2 4 0
[hazard_4] 26 2 4 -6
[hazard_4] 27 2 4 -8
[hazard_4] 28 2 4 3
[jam_4] 29 1 4 6
[honk_4] 30 1 4 -2
[move_0_4] 31 2 1 0
[hazard_1] 32 2 1 -7
[hazard_1] 33 2 1 -10
[hazard_1] 34 1 1 4
[changelane_1] 35 1 1 -2
[term_1] 36 2 51 0
[term] 37 2 51 -11
[term] 38 2 51 -11
