action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -7
[hazard_36] 5 2 36 -10
[hazard_36] 6 2 36 5
[obstacle_36] 7 1 36 4
[changelane_36] 8 1 36 -2
[move_0_36] 9 2 31 0
[hazard_31] 10 2 31 -6
[hazard_31] 11 2 31 -9
[hazard_31] 12 1 31 1
[brake_31] 13 1 31 -2
[move_1_31] 14 2 27 0
[hazard_27] 15 2 27 -7
[hazard_27] 16 1 27 -2
[move_0_27] 17 2 29 0
[hazard_29] 18 2 29 -7
[hazard_29] 19 1 29 -2
[move_1_29] 20 2 4 0
[hazard_4] 21 2 4 -7
[hazard_4] 22 1 4 -2
[move_1_4] 23 2 2 0
[hazard_2] 24 2 2 -7
[hazard_2] 25 1 2 -2
[move_0_2] 26 2 9 0
[hazard_9] 27 2 9 -7
[hazard_9] 28 1 9 -2
[term_9] 29 2 51 0
[term] 30 2 51 -11
[term] 31 2 51 -11
