action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_1_28] 6 2 33 0
[hazard_33] 7 2 33 -6
[hazard_33] 8 2 33 -8
[hazard_33] 9 2 33 3
[jam_33] 10 1 33 6
[uturn_33] 11 1 5 -2
[move_0_5] 12 2 31 0
[hazard_31] 13 2 31 -6
[hazard_31] 14 2 31 -8
[hazard_31] 15 1 31 6
[uturn_31] 16 1 28 -2
[move_0_28] 17 2 32 0
[hazard_32] 18 2 32 -7
[hazard_32] 19 1 32 -2
[move_1_32] 20 2 35 0
[hazard_35] 21 2 35 -6
[hazard_35] 22 2 35 -8
[hazard_35] 23 2 35 3
[jam_35] 24 1 35 6
[uturn_35] 25 1 41 -2
[move_1_41] 26 2 36 0
[hazard_36] 27 2 36 -7
[hazard_36] 28 1 36 -2
[move_0_36] 29 2 31 0
[hazard_31] 30 2 31 -6
[hazard_31] 31 2 31 -9
[hazard_31] 32 2 31 2
[pedestrian_31] 33 1 31 1
[changelane_31] 34 1 31 -2
[move_1_31] 35 2 27 0
[hazard_27] 36 2 27 -6
[hazard_27] 37 2 27 -9
[hazard_27] 38 1 27 1
[brake_27] 39 1 27 -2
[move_0_27] 40 2 29 0
[hazard_29] 41 2 29 -7
[hazard_29] 42 1 29 -2
[move_1_29] 43 2 4 0
[hazard_4] 44 2 4 -6
[hazard_4] 45 2 4 -9
[hazard_4] 46 1 4 1
[honk_4] 47 1 4 -2
[move_1_4] 48 2 2 0
[hazard_2] 49 2 2 -6
[hazard_2] 50 2 2 -8
[hazard_2] 51 1 2 6
[honk_2] 52 1 2 -2
[move_1_2] 53 2 10 0
[hazard_10] 54 2 10 -6
[hazard_10] 55 2 10 -8
[hazard_10] 56 1 10 6
[honk_10] 57 2 10 -1
[term] 58 2 51 -11
[term] 59 2 51 -11
