action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[changelane_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -7
[hazard_31] 10 1 31 -2
[move_1_31] 11 2 27 0
[hazard_27] 12 2 27 -6
[hazard_27] 13 2 27 -8
[hazard_27] 14 1 27 6
[honk_27] 15 1 27 -2
[move_0_27] 16 2 29 0
[hazard_29] 17 2 29 -6
[hazard_29] 18 2 29 -9
[hazard_29] 19 1 29 1
[brake_29] 20 1 29 -2
[move_0_29] 21 2 3 0
[hazard_3] 22 2 3 -7
[hazard_3] 23 2 3 -10
[hazard_3] 24 1 3 4
[uturn_3] 25 2 3 -3
[term] 26 2 51 -11
[term] 27 2 51 -11
