action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -8
[hazard_46] 3 1 46 6
[uturn_46] 4 1 26 -2
[move_0_26] 5 2 44 0
[hazard_44] 6 2 44 -6
[hazard_44] 7 2 44 -9
[hazard_44] 8 1 44 1
[brake_44] 9 1 44 -2
[move_1_44] 10 2 17 0
[hazard_17] 11 2 17 -7
[hazard_17] 12 2 17 -10
[hazard_17] 13 1 17 4
[uturn_17] 14 1 43 -2
[move_1_43] 15 2 18 0
[hazard_18] 16 2 18 -6
[hazard_18] 17 2 18 -9
[hazard_18] 18 1 18 1
[changelane_18] 19 1 18 -2
[move_1_18] 20 2 46 0
[hazard_46] 21 2 46 -6
[hazard_46] 22 2 46 -8
[hazard_46] 23 1 46 6
[honk_46] 24 1 46 -2
[move_1_46] 25 2 28 0
[hazard_28] 26 2 28 -6
[hazard_28] 27 2 28 -9
[hazard_28] 28 1 28 1
[honk_28] 29 1 28 -2
[move_1_28] 30 2 33 0
[hazard_33] 31 2 33 -7
[hazard_33] 32 1 33 -2
[move_0_33] 33 2 6 0
[hazard_6] 34 2 6 -6
[hazard_6] 35 2 6 -8
[hazard_6] 36 1 6 6
[honk_6] 37 1 6 -2
[move_0_6] 38 2 8 0
[hazard_8] 39 2 8 -6
[hazard_8] 40 2 8 -8
[hazard_8] 41 1 8 6
[uturn_8] 42 1 2 -2
[move_1_2] 43 2 10 0
[hazard_10] 44 2 10 -7
[hazard_10] 45 1 10 -2
[move_0_10] 46 2 5 0
[hazard_5] 47 2 5 -7
[hazard_5] 48 1 5 -2
[move_1_5] 49 2 32 0
[hazard_32] 50 2 32 -6
[hazard_32] 51 2 32 -9
[hazard_32] 52 1 32 1
[changelane_32] 53 1 32 -2
[move_1_32] 54 2 35 0
[hazard_35] 55 2 35 -7
[hazard_35] 56 1 35 -2
[term_35] 57 2 51 0
[term] 58 2 51 -11
[term] 59 2 51 -11
