action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -9
[hazard_46] 3 1 46 1
[brake_46] 4 1 46 -2
[move_0_46] 5 2 27 0
[hazard_27] 6 2 27 -6
[hazard_27] 7 2 27 -9
[hazard_27] 8 1 27 1
[honk_27] 9 1 27 -2
[move_1_27] 10 2 30 0
[hazard_30] 11 2 30 -6
[hazard_30] 12 2 30 -8
[hazard_30] 13 1 30 6
[uturn_30] 14 1 38 -2
[move_0_38] 15 2 29 0
[hazard_29] 16 2 29 -7
[hazard_29] 17 1 29 -2
[move_1_29] 18 2 4 0
[hazard_4] 19 2 4 -7
[hazard_4] 20 2 4 -10
[hazard_4] 21 1 4 4
[changelane_4] 22 1 4 -2
[move_1_4] 23 2 2 0
[hazard_2] 24 2 2 -7
[hazard_2] 25 2 2 -10
[hazard_2] 26 1 2 4
[changelane_2] 27 1 2 -2
[move_0_2] 28 2 9 0
[hazard_9] 29 2 9 -7
[hazard_9] 30 1 9 -2
[term_9] 31 2 51 0
[term] 32 2 51 -11
[term] 33 2 51 -11
