action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_0_28] 6 2 32 0
[hazard_32] 7 2 32 -6
[hazard_32] 8 2 32 -8
[hazard_32] 9 2 32 3
[jam_32] 10 1 32 6
[honk_32] 11 1 32 -2
[move_0_32] 12 2 34 0
[hazard_34] 13 2 34 -7
[hazard_34] 14 2 34 -10
[hazard_34] 15 1 34 4
[uturn_34] 16 1 37 -2
[move_0_37] 17 2 35 0
[hazard_35] 18 2 35 -7
[hazard_35] 19 2 35 -10
[hazard_35] 20 1 35 4
[uturn_35] 21 2 35 -1
[term] 22 2 51 -11
[term] 23 2 51 -11
