action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -9
[hazard_37] 3 1 37 1
[changelane_37] 4 1 37 -2
[move_0_37] 5 2 35 0
[hazard_35] 6 2 35 -7
[hazard_35] 7 2 35 -10
[hazard_35] 8 1 35 4
[uturn_35] 9 1 41 -2
[move_1_41] 10 2 36 0
[hazard_36] 11 2 36 -6
[hazard_36] 12 2 36 -9
[hazard_36] 13 1 36 1
[honk_36] 14 1 36 -2
[move_1_36] 15 2 33 0
[hazard_33] 16 2 33 -7
[hazard_33] 17 1 33 -2
[move_0_33] 18 2 6 0
[hazard_6] 19 2 6 -7
[hazard_6] 20 1 6 -2
[move_1_6] 21 2 9 0
[hazard_9] 22 2 9 -6
[hazard_9] 23 2 9 -8
[hazard_9] 24 1 9 6
[uturn_9] 25 1 42 -2
[move_0_42] 26 2 8 0
[hazard_8] 27 2 8 -7
[hazard_8] 28 1 8 -2
[move_1_8] 29 2 1 0
[hazard_1] 30 2 1 -7
[hazard_1] 31 2 1 -10
[hazard_1] 32 1 1 4
[changelane_1] 33 1 1 -2
[term_1] 34 2 51 0
[term] 35 2 51 -11
[term] 36 2 51 -11
