action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -7
[hazard_8] 2 1 8 -2
[move_1_8] 3 2 1 0
[hazard_1] 4 2 1 -6
[hazard_1] 5 2 1 -9
[hazard_1] 6 2 1 2
[obstacle_1] 7 1 1 4
[uturn_1] 8 1 11 -2
[move_1_11] 9 2 2 0
[hazard_2] 10 2 2 -7
[hazard_2] 11 1 2 -2
[move_0_2] 12 2 9 0
[hazard_9] 13 2 9 -6
[hazard_9] 14 2 9 -8
[hazard_9] 15 1 9 6
[uturn_9] 16 1 42 -2
[move_0_42] 17 2 8 0
[hazard_8] 18 2 8 -7
[hazard_8] 19 1 8 -2
[move_1_8] 20 2 1 0
[hazard_1] 21 2 1 -7
[hazard_1] 22 1 1 -2
[term_1] 23 2 51 0
[term] 24 2 51 -11
[term] 25 2 51 -11
