action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -7
[hazard_8] 2 1 8 -2
[move_1_8] 3 2 1 0
[hazard_1] 4 2 1 -7
[hazard_1] 5 2 1 -10
[hazard_1] 6 1 1 4
[uturn_1] 7 1 11 -2
[move_1_11] 8 2 2 0
[hazard_2] 9 2 2 -7
[hazard_2] 10 2 2 -10
[hazard_2] 11 1 2 4
[changelane_2] 12 1 2 -2
[move_0_2] 13 2 9 0
[hazard_9] 14 2 9 -6
[hazard_9] 15 2 9 -8
[hazard_9] 16 1 9 6
[uturn_9] 17 1 42 -2
[move_1_42] 18 2 10 0
[hazard_10] 19 2 10 -7
[hazard_10] 20 1 10 -2
[move_1_10] 21 2 7 0
[hazard_7] 22 2 7 -7
[hazard_7] 23 1 7 -2
[move_0_7] 24 2 14 0
[hazard_14] 25 2 14 -7
[hazard_14] 26 1 14 -2
[term_14] 27 2 51 0
[term] 28 2 51 -11
[term] 29 2 51 -11
