action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[brake_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -6
[hazard_31] 10 2 31 -8
[hazard_31] 11 1 31 6
[honk_31] 12 1 31 -2
[move_1_31] 13 2 27 0
[hazard_27] 14 2 27 -7
[hazard_27] 15 1 27 -2
[move_1_27] 16 2 30 0
[hazard_30] 17 2 30 -7
[hazard_30] 18 1 30 -2
[move_0_30] 19 2 39 0
[hazard_39] 20 2 39 -7
[hazard_39] 21 1 39 -2
[term_39] 22 2 51 0
[term] 23 2 51 -11
[term] 24 2 51 -11
