action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 1 28 -2
[move_1_28] 6 2 33 0
[hazard_33] 7 2 33 -7
[hazard_33] 8 1 33 -2
[move_0_33] 9 2 6 0
[hazard_6] 10 2 6 -7
[hazard_6] 11 1 6 -2
[move_0_6] 12 2 8 0
[hazard_8] 13 2 8 -7
[hazard_8] 14 2 8 -10
[hazard_8] 15 1 8 4
[uturn_8] 16 1 2 -2
[move_0_2] 17 2 9 0
[hazard_9] 18 2 9 -6
[hazard_9] 19 2 9 -9
[hazard_9] 20 1 9 1
[honk_9] 21 1 9 -2
[term_9] 22 2 51 0
[term] 23 2 51 -11
[term] 24 2 51 -11
