action step p car_position s
- 0 2 34 0
[hazard_34] 1 2 34 -6
[hazard_34] 2 2 34 -8
[hazard_34] 3 2 34 3
[jam_34] 4 1 34 6
[uturn_34] 5 1 37 -2
[move_1_37] 6 2 36 0
[hazard_36] 7 2 36 -7
[hazard_36] 8 1 36 -2
[move_0_36] 9 2 31 0
[hazard_31] 10 2 31 -6
[hazard_31] 11 2 31 -9
[hazard_31] 12 1 31 1
[brake_31] 13 1 31 -2
[move_1_31] 14 2 27 0
[hazard_27] 15 2 27 -6
[hazard_27] 16 2 27 -9
[hazard_27] 17 1 27 1
[brake_27] 18 1 27 -2
[move_1_27] 19 2 30 0
[hazard_30] 20 2 30 -7
[hazard_30] 21 2 30 -10
[hazard_30] 22 1 30 4
[changelane_30] 23 2 30 -1
[term] 24 2 51 -11
[term] 25 2 51 -11
