action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -7
[hazard_46] 2 1 46 -2
[move_1_46] 3 2 28 0
[hazard_28] 4 2 28 -7
[hazard_28] 5 2 28 -10
[hazard_28] 6 1 28 4
[uturn_28] 7 1 31 -2
[move_1_31] 8 2 27 0
[hazard_27] 9 2 27 -7
[hazard_27] 10 1 27 -2
[move_1_27] 11 2 30 0
[hazard_30] 12 2 30 -7
[hazard_30] 13 1 30 -2
[move_1_30] 14 2 40 0
[hazard_40] 15 2 40 -6
[hazard_40] 16 2 40 -8
[hazard_40] 17 1 40 6
[uturn_40] 18 1 45 -2
[move_0_45] 19 2 38 0
[hazard_38] 20 2 38 -7
[hazard_38] 21 1 38 -2
[move_0_38] 22 2 29 0
[hazard_29] 23 2 29 -6
[hazard_29] 24 2 29 -8
[hazard_29] 25 1 29 6
[honk_29] 26 1 29 -2
[move_0_29] 27 2 3 0
[hazard_3] 28 2 3 -7
[hazard_3] 29 1 3 -2
[term_3] 30 2 51 0
[term] 31 2 51 -11
[term] 32 2 51 -11
