action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -6
[hazard_8] 2 2 8 -8
[hazard_8] 3 1 8 6
[honk_8] 4 1 8 -2
[move_1_8] 5 2 1 0
[hazard_1] 6 2 1 -6
[hazard_1] 7 2 1 -8
[hazard_1] 8 1 1 6
[uturn_1] 9 1 11 -2
[move_1_11] 10 2 2 0
[hazard_2] 11 2 2 -7
[hazard_2] 12 1 2 -2
[move_1_2] 13 2 10 0
[hazard_10] 14 2 10 -7
[hazard_10] 15 1 10 -2
[move_1_10] 16 2 7 0
[hazard_7] 17 2 7 -7
[hazard_7] 18 1 7 -2
[move_1_7] 19 2 15 0
[hazard_15] 20 2 15 -6
[hazard_15] 21 2 15 -8
[hazard_15] 22 1 15 6
[uturn_15] 23 1 12 -2
[move_1_12] 24 2 14 0
[hazard_14] 25 2 14 -7
[hazard_14] 26 1 14 -2
[term_14] 27 2 51 0
[term] 28 2 51 -11
[term] 29 2 51 -11
