action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -9
[hazard_46] 3 1 46 1
[brake_46] 4 1 46 -2
[move_1_46] 5 2 28 0
[hazard_28] 6 2 28 -7
[hazard_28] 7 1 28 -2
[move_0_28] 8 2 32 0
[hazard_32] 9 2 32 -6
[hazard_32] 10 2 32 -8
[hazard_32] 11 1 32 6
[uturn_32] 12 1 36 -2
[move_1_36] 13 2 33 0
[hazard_33] 14 2 33 -7
[hazard_33] 15 1 33 -2
[move_0_33] 16 2 6 0
[hazard_6] 17 2 6 -6
[hazard_6] 18 2 6 -9
[hazard_6] 19 1 6 1
[changelane_6] 20 1 6 -2
[move_1_6] 21 2 9 0
[hazard_9] 22 2 9 -6
[hazard_9] 23 2 9 -9
[hazard_9] 24 1 9 1
[changelane_9] 25 1 9 -2
[term_9] 26 2 51 0
[term] 27 2 51 -11
[term] 28 2 51 -11
