action step p car_position s
- 0 2 46 0
[hazard_46] 1 2 46 -6
[hazard_46] 2 2 46 -9
[hazard_46] 3 1 46 1
[brake_46] 4 1 46 -2
[move_0_46] 5 2 27 0
[hazard_27] 6 2 27 -7
[hazard_27] 7 1 27 -2
[move_1_27] 8 2 30 0
[hazard_30] 9 2 30 -7
[hazard_30] 10 1 30 -2
[move_1_30] 11 2 40 0
[hazard_40] 12 2 40 -7
[hazard_40] 13 2 40 -10
[hazard_40] 14 1 40 4
[changelane_40] 15 1 40 -2
[move_1_40] 16 2 46 0
[hazard_46] 17 2 46 -7
[hazard_46] 18 1 46 -2
[move_0_46] 19 2 27 0
[hazard_27] 20 2 27 -6
[hazard_27] 21 2 27 -8
[hazard_27] 22 2 27 3
[jam_27] 23 1 27 6
[honk_27] 24 1 27 -2
[move_0_27] 25 2 29 0
[hazard_29] 26 2 29 -7
[hazard_29] 27 1 29 -2
[move_0_29] 28 2 3 0
[hazard_3] 29 2 3 -7
[hazard_3] 30 1 3 -2
[term_3] 31 2 51 0
[term] 32 2 51 -11
[term] 33 2 51 -11
