action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[brake_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -6
[hazard_31] 10 2 31 -9
[hazard_31] 11 1 31 1
[changelane_31] 12 1 31 -2
[move_0_31] 13 2 26 0
[hazard_26] 14 2 26 -7
[hazard_26] 15 2 26 -10
[hazard_26] 16 1 26 4
[changelane_26] 17 1 26 -2
[move_1_26] 18 2 45 0
[hazard_45] 19 2 45 -7
[hazard_45] 20 1 45 -2
[move_1_45] 21 2 39 0
[hazard_39] 22 2 39 -7
[hazard_39] 23 1 39 -2
[term_39] 24 2 51 0
[term] 25 2 51 -11
[term] 26 2 51 -11
