action step p car_position s
- 0 2 8 0
[hazard_8] 1 2 8 -6
[hazard_8] 2 2 8 -9
[hazard_8] 3 1 8 1
[brake_8] 4 1 8 -2
[move_1_8] 5 2 1 0
[hazard_1] 6 2 1 -6
[hazard_1] 7 2 1 -8
[hazard_1] 8 2 1 3
[jam_1] 9 1 1 6
[uturn_1] 10 1 11 -2
[move_1_11] 11 2 2 0
[hazard_2] 12 2 2 -7
[hazard_2] 13 1 2 -2
[move_1_2] 14 2 10 0
[hazard_10] 15 2 10 -7
[hazard_10] 16 1 10 -2
[move_0_10] 17 2 5 0
[hazard_5] 18 2 5 -7
[hazard_5] 19 1 5 -2
[move_1_5] 20 2 32 0
[hazard_32] 21 2 32 -7
[hazard_32] 22 2 32 -10
[hazard_32] 23 1 32 4
[uturn_32] 24 1 36 -2
[move_1_36] 25 2 33 0
[hazard_33] 26 2 33 -7
[hazard_33] 27 1 33 -2
[move_0_33] 28 2 6 0
[hazard_6] 29 2 6 -7
[hazard_6] 30 1 6 -2
[move_1_6] 31 2 9 0
[hazard_9] 32 2 9 -7
[hazard_9] 33 1 9 -2
[term_9] 34 2 51 0
[term] 35 2 51 -11
[term] 36 2 51 -11
