action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -6
[hazard_36] 5 2 36 -9
[hazard_36] 6 1 36 1
[honk_36] 7 1 36 -2
[move_0_36] 8 2 31 0
[hazard_31] 9 2 31 -7
[hazard_31] 10 1 31 -2
[move_0_31] 11 2 26 0
[hazard_26] 12 2 26 -7
[hazard_26] 13 1 26 -2
[move_0_26] 14 2 44 0
[hazard_44] 15 2 44 -7
[hazard_44] 16 1 44 -2
[move_0_44] 17 2 16 0
[hazard_16] 18 2 16 -7
[hazard_16] 19 1 16 -2
[move_1_16] 20 2 21 0
[hazard_21] 21 2 21 -7
[hazard_21] 22 1 21 -2
[term_21] 23 2 51 0
[term] 24 2 51 -11
[term] 25 2 51 -11
